Codi_Districte,Nom_Districte,Any,m² por habitante
1,CiutatVella,2000,7.4
1,CiutatVella,2001,7.4
1,CiutatVella,2002,6.4
1,CiutatVella,2003,5.9
1,CiutatVella,2004,5.8
1,CiutatVella,2005,5.6
1,CiutatVella,2006,5.6
1,CiutatVella,2007,5.6
1,CiutatVella,2008,5.7
1,CiutatVella,2009,5.9
1,CiutatVella,2010,6.0
1,CiutatVella,2011,6.1
1,CiutatVella,2012,6.0
1,CiutatVella,2013,6.1
1,CiutatVella,2014,6.2
1,CiutatVella,2015,6.3
1,CiutatVella,2016,6.2
1,CiutatVella,2017,6.2
1,CiutatVella,2018,6.2
1,CiutatVella,2019,6.3
1,CiutatVella,2020,5.8
1,CiutatVella,2021,5.7
2,Eixample,2000,1.9
2,Eixample,2001,2.0
2,Eixample,2002,1.9
2,Eixample,2003,1.9
2,Eixample,2004,2.0
2,Eixample,2005,2.0
2,Eixample,2006,2.0
2,Eixample,2007,2.0
2,Eixample,2008,1.9
2,Eixample,2009,1.9
2,Eixample,2010,1.8
2,Eixample,2011,1.8
2,Eixample,2012,1.8
2,Eixample,2013,1.8
2,Eixample,2014,1.9
2,Eixample,2015,1.9
2,Eixample,2016,1.9
2,Eixample,2017,2.0
2,Eixample,2018,1.9
2,Eixample,2019,2.0
2,Eixample,2020,2.0
2,Eixample,2021,2.0
3,Sants-Montjuïc,2000,17.2
3,Sants-Montjuïc,2001,17.3
3,Sants-Montjuïc,2002,16.9
3,Sants-Montjuïc,2003,16.6
3,Sants-Montjuïc,2004,16.6
3,Sants-Montjuïc,2005,16.5
3,Sants-Montjuïc,2006,16.5
3,Sants-Montjuïc,2007,16.5
3,Sants-Montjuïc,2008,16.5
3,Sants-Montjuïc,2009,16.5
3,Sants-Montjuïc,2010,16.8
3,Sants-Montjuïc,2011,17.2
3,Sants-Montjuïc,2012,17.2
3,Sants-Montjuïc,2013,17.3
3,Sants-Montjuïc,2014,17.6
3,Sants-Montjuïc,2015,17.7
3,Sants-Montjuïc,2016,17.8
3,Sants-Montjuïc,2017,17.8
3,Sants-Montjuïc,2018,17.8
3,Sants-Montjuïc,2019,18.0
3,Sants-Montjuïc,2020,17.4
3,Sants-Montjuïc,2021,17.2
4,LesCorts,2000,8.4
4,LesCorts,2001,8.4
4,LesCorts,2002,8.6
4,LesCorts,2003,8.6
4,LesCorts,2004,8.8
4,LesCorts,2005,8.8
4,LesCorts,2006,8.8
4,LesCorts,2007,8.8
4,LesCorts,2008,8.9
4,LesCorts,2009,8.8
4,LesCorts,2010,9.1
4,LesCorts,2011,9.1
4,LesCorts,2012,9.2
4,LesCorts,2013,9.6
4,LesCorts,2014,9.7
4,LesCorts,2015,9.6
4,LesCorts,2016,9.6
4,LesCorts,2017,9.6
4,LesCorts,2018,9.6
4,LesCorts,2019,9.8
4,LesCorts,2020,9.7
4,LesCorts,2021,9.6
5,Sarrià-SantGervasi,2000,6.2
5,Sarrià-SantGervasi,2001,6.3
5,Sarrià-SantGervasi,2002,6.2
5,Sarrià-SantGervasi,2003,6.1
5,Sarrià-SantGervasi,2004,6.1
5,Sarrià-SantGervasi,2005,6.1
5,Sarrià-SantGervasi,2006,6.1
5,Sarrià-SantGervasi,2007,6.1
5,Sarrià-SantGervasi,2008,6.6
5,Sarrià-SantGervasi,2009,6.6
5,Sarrià-SantGervasi,2010,6.6
5,Sarrià-SantGervasi,2011,6.7
5,Sarrià-SantGervasi,2012,6.7
5,Sarrià-SantGervasi,2013,6.7
5,Sarrià-SantGervasi,2014,6.7
5,Sarrià-SantGervasi,2015,6.4
5,Sarrià-SantGervasi,2016,6.4
5,Sarrià-SantGervasi,2017,6.2
5,Sarrià-SantGervasi,2018,6.2
5,Sarrià-SantGervasi,2019,6.3
5,Sarrià-SantGervasi,2020,6.2
5,Sarrià-SantGervasi,2021,6.1
6,Gràcia,2000,3.2
6,Gràcia,2001,3.2
6,Gràcia,2002,3.2
6,Gràcia,2003,3.3
6,Gràcia,2004,3.3
6,Gràcia,2005,3.2
6,Gràcia,2006,3.2
6,Gràcia,2007,3.2
6,Gràcia,2008,3.2
6,Gràcia,2009,3.2
6,Gràcia,2010,3.2
6,Gràcia,2011,3.3
6,Gràcia,2012,3.3
6,Gràcia,2013,3.4
6,Gràcia,2014,3.4
6,Gràcia,2015,3.4
6,Gràcia,2016,3.4
6,Gràcia,2017,3.5
6,Gràcia,2018,3.5
6,Gràcia,2019,3.5
6,Gràcia,2020,3.5
6,Gràcia,2021,3.5
7,Horta-Guinardó,2000,7.2
7,Horta-Guinardó,2001,7.3
7,Horta-Guinardó,2002,7.3
7,Horta-Guinardó,2003,7.2
7,Horta-Guinardó,2004,7.2
7,Horta-Guinardó,2005,7.2
7,Horta-Guinardó,2006,7.2
7,Horta-Guinardó,2007,7.2
7,Horta-Guinardó,2008,7.2
7,Horta-Guinardó,2009,7.1
7,Horta-Guinardó,2010,7.2
7,Horta-Guinardó,2011,7.3
7,Horta-Guinardó,2012,7.3
7,Horta-Guinardó,2013,7.5
7,Horta-Guinardó,2014,7.8
7,Horta-Guinardó,2015,7.9
7,Horta-Guinardó,2016,7.8
7,Horta-Guinardó,2017,7.9
7,Horta-Guinardó,2018,7.9
7,Horta-Guinardó,2019,8.3
7,Horta-Guinardó,2020,8.2
7,Horta-Guinardó,2021,8.15
8,NouBarris,2000,5.5
8,NouBarris,2001,5.6
8,NouBarris,2002,5.8
8,NouBarris,2003,6.2
8,NouBarris,2004,6.3
8,NouBarris,2005,6.3
8,NouBarris,2006,6.3
8,NouBarris,2007,6.3
8,NouBarris,2008,6.8
8,NouBarris,2009,6.7
8,NouBarris,2010,6.4
8,NouBarris,2011,6.5
8,NouBarris,2012,6.5
8,NouBarris,2013,6.9
8,NouBarris,2014,6.9
8,NouBarris,2015,7.0
8,NouBarris,2016,7.0
8,NouBarris,2017,7.1
8,NouBarris,2018,7.0
8,NouBarris,2019,7.0
8,NouBarris,2020,6.8
8,NouBarris,2021,6.7
9,SantAndreu,2000,4.0
9,SantAndreu,2001,4.0
9,SantAndreu,2002,4.0
9,SantAndreu,2003,3.9
9,SantAndreu,2004,3.9
9,SantAndreu,2005,3.9
9,SantAndreu,2006,3.9
9,SantAndreu,2007,3.9
9,SantAndreu,2008,3.8
9,SantAndreu,2009,3.8
9,SantAndreu,2010,3.8
9,SantAndreu,2011,3.9
9,SantAndreu,2012,3.9
9,SantAndreu,2013,4.0
9,SantAndreu,2014,4.0
9,SantAndreu,2015,4.0
9,SantAndreu,2016,4.0
9,SantAndreu,2017,4.1
9,SantAndreu,2018,4.2
9,SantAndreu,2019,4.3
9,SantAndreu,2020,4.2
9,SantAndreu,2021,4.2
10,SantMartí,2000,6.5
10,SantMartí,2001,6.5
10,SantMartí,2002,7.0
10,SantMartí,2003,7.0
10,SantMartí,2004,7.1
10,SantMartí,2005,7.0
10,SantMartí,2006,7.0
10,SantMartí,2007,7.0
10,SantMartí,2008,7.3
10,SantMartí,2009,7.3
10,SantMartí,2010,7.3
10,SantMartí,2011,7.3
10,SantMartí,2012,7.4
10,SantMartí,2013,7.5
10,SantMartí,2014,7.5
10,SantMartí,2015,7.6
10,SantMartí,2016,7.7
10,SantMartí,2017,7.7
10,SantMartí,2018,7.8
10,SantMartí,2019,7.8
10,SantMartí,2020,7.7
10,SantMartí,2021,7.6
